,Unnamed: 0,v_num,v_name,erup_num,erup_cat,vei,start_y,start_m,start_d,end_y,end_m,end_d,lat,lon,start,end,delta,start_img,sat_lats,sat_lons,start_img_available_in_api
49,49,345020,Rincon de la Vieja,22282,Confirmed Eruption,1.0,2018,7,28,2019,6,11,10.83,-85.324,2018-07-28,2019-06-11,318 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/07/28/thumbs/epic_1b_20180728005516.jpg,13.000488,163.659668,22
50,50,284096,Nishinoshima,22280,Confirmed Eruption,1.0,2018,7,12,2018,7,21,27.247,140.874,2018-07-12,2018-07-21,9 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/07/12/thumbs/epic_1b_20180712004555.jpg,15.842285,171.694336,22
51,51,233005,Mayotte,22337,Confirmed Eruption,0.0,2018,7,3,2019,8,20,-12.83,45.17,2018-07-03,2019-08-20,413 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/07/03/thumbs/epic_1b_20180703000830.jpg,17.834473,-176.096191,22
52,52,353050,"Negra, Sierra",22279,Confirmed Eruption,2.0,2018,6,26,2018,8,23,-0.83,-91.17,2018-06-26,2018-08-23,58 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/06/26/thumbs/epic_1b_20180626000831.jpg,19.519043,-173.942871,21
53,53,344040,Telica,22277,Confirmed Eruption,1.0,2018,6,21,2018,8,15,12.606,-86.84,2018-06-21,2018-08-15,55 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/06/21/thumbs/epic_1b_20180621004555.jpg,20.793457,177.897949,22
54,54,262000,Krakatau,22275,Confirmed Eruption,3.0,2018,6,18,2020,2,19,-6.102,105.42299999999999,2018-06-18,2020-02-19,611 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/06/18/thumbs/epic_1b_20180618001752.jpg,21.533203,-174.638672,22
55,55,353010,Fernandina,22278,Confirmed Eruption,1.0,2018,6,16,2018,6,21,-0.37,-91.55,2018-06-16,2018-06-21,5 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/06/16/thumbs/epic_1b_20180616005515.jpg,21.994629,176.176758,22
56,56,311120,Great Sitkin,22276,Confirmed Eruption,1.0,2018,6,10,2018,8,11,52.076,-176.13,2018-06-10,2018-08-11,62 days 00:00:00.000000000,no-img,0,0,0
57,57,252120,Ulawun,22285,Confirmed Eruption,1.0,2018,6,8,2018,6,8,-5.05,151.33,2018-06-08,2018-06-08,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/06/08/thumbs/epic_1b_20180608021004.jpg,23.774414,157.741699,17
58,58,263250,Merapi,22264,Confirmed Eruption,3.0,2018,5,11,2020,2,19,-7.54,110.446,2018-05-11,2020-02-19,649 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/05/11/thumbs/epic_1b_20180511010436.jpg,25.246582,168.310547,21
59,59,300130,Karymsky,22265,Confirmed Eruption,3.0,2018,4,28,2018,9,30,54.049,159.44299999999998,2018-04-28,2018-09-30,155 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/04/28/thumbs/epic_1b_20180428005516.jpg,21.489258,165.871582,22
